,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,7%,12%,9%,8%,9%
RandomForestClassifier,13%,14%,14%,22%,16%
LGBMClassifier,22%,21%,28%,23%,24%
HistGradientBoostingClassifier,23%,27%,19%,17%,21%
XGBClassifier,6%,6%,8%,8%,7%
ExtraTreesClassifier,7%,6%,8%,10%,8%
MLPClassifier,9%,5%,2%,2%,4%
GaussianNB,2%,2%,1%,0%,1%
SVC,4%,1%,1%,1%,2%
AdaBoostClassifier,1%,1%,2%,3%,2%
SGDClassifier,0%,0%,0%,0%,0%
LogisticRegression,3%,2%,2%,3%,2%
LinearDiscriminantAnalysis,0%,1%,3%,2%,1%
QuadraticDiscriminantAnalysis,0%,0%,0%,1%,0%
KNeighborsClassifier,2%,0%,0%,0%,1%
DecisionTreeClassifier,0%,0%,0%,0%,0%
