,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_explained_var,Exp2train_r2,Exp2train_rmse,Exp2ori_explained_var,Exp2ori_r2,Exp2ori_rmse,Exp2impute_explained_var,Exp2impute_r2,Exp2impute_rmse,Exp2RegressorModel,Exp2duration,Exp3train_explained_var,Exp3train_r2,Exp3train_rmse,Exp3ori_explained_var,Exp3ori_r2,Exp3ori_rmse,Exp3impute_explained_var,Exp3impute_r2,Exp3impute_rmse,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3RegressorModel,Exp3duration
0,189,reg_simple_,MAR_,0.01_,1/,0.34633550910195,SimpleImputer,0.9117096975924057,0.9090878392955403,0.07964881287771614,0.8724230042064797,0.8665762149951072,0.09438688843732311,0.8620852727007804,0.8562320326197053,0.09797744440171775,MLPRegressor,12621.213344812393,0.8882632731438366,0.8882585103616202,0.08830301773367934,0.8632489652776933,0.862118801708817,0.09595057144244411,0.8541140723897117,0.8529255820078965,0.0990977080685334,SimpleImputer,0.3645692693396079,MLPRegressor,9199.659322738647
1,189,reg_simple_,MAR_,0.1_,1/,0.3318025918164748,SimpleImputer,0.8239082980446448,0.8230867236878554,0.1111088186642159,0.8570052287758254,0.8534956407703349,0.09890547081865658,0.7212974731447812,0.7176584529165064,0.13730376180293546,MLPRegressor,12212.82664847374,0.822919430006482,0.8226575624764532,0.11124350248551677,0.8545993741999711,0.8531532828967919,0.09902096672580653,0.7170344406011611,0.7147783298153824,0.13800229229859057,SimpleImputer,0.3535820450344712,MLPRegressor,13157.14332985878
2,189,reg_simple_,MAR_,0.3_,1/,0.32406894722907864,SimpleImputer,0.7255677439134316,0.7255080954362043,0.1383990431911563,0.8403871490820621,0.8394446513018872,0.10353982582337659,0.5215853576329672,0.520878267558317,0.1788619561743725,MLPRegressor,9722.906857728958,0.7250578348155763,0.7249849816780467,0.13853085761236125,0.8375043274745023,0.8371493126896414,0.1042773147090154,0.5115477032869088,0.5103570752928146,0.1808151361374929,SimpleImputer,0.3465658671070021,MLPRegressor,12332.706627130508
3,189,reg_simple_,MAR_,0.5_,1/,0.2969467947362534,SimpleImputer,0.5750434987508477,0.5748111198696816,0.1722500142023595,0.7745436613396304,0.7722491219985423,0.12331760199787246,0.44505004029791095,0.44452198740711935,0.1925876693690963,MLPRegressor,13181.963964700699,0.5934065597354108,0.5923775322745154,0.16865428287627032,0.7831149264988884,0.7768792957808287,0.12205764237318732,0.44178106696122377,0.4416975404139173,0.19307667518165378,SimpleImputer,0.35059018060080505,MLPRegressor,11782.461847305298
4,189,reg_simple_,MNAR_,0.01_,1/,0.3525496086351161,SimpleImputer,0.9175041864857278,0.9174857550257641,0.07588095401922498,0.870734824705198,0.870112576571588,0.09312763882486433,0.8529119533191738,0.8517596545930426,0.0994897295125892,MLPRegressor,13222.87258529663,0.9040139919933697,0.9023753147080675,0.08253689764885563,0.8652632072901805,0.8649917281697235,0.09494568455176368,0.8443335912147183,0.8442927156249718,0.1019646202742928,SimpleImputer,0.35958731754217826,MLPRegressor,12403.509370803833
5,189,reg_simple_,MNAR_,0.1_,1/,0.3308333248595816,SimpleImputer,0.7473647078922051,0.74678038530069,0.13292815875848313,0.8386916977038111,0.8382425164025102,0.10392672268378036,0.6626808279937774,0.6615728763550321,0.15032375734149223,MLPRegressor,11972.708606004715,0.7586231412769907,0.7550617843575433,0.13073642117088327,0.8428997457469867,0.8343590672912083,0.10516685211055764,0.6553449370629154,0.6423649781176405,0.1545308030647069,SimpleImputer,0.3547121025147037,MLPRegressor,11265.712636709213
6,189,reg_simple_,MNAR_,0.3_,1/,0.2987467535686377,SimpleImputer,0.489735053493647,0.48965418304901265,0.1887124691695171,0.7523629419486527,0.7495901581359979,0.12930661355094672,0.4309834174023648,0.4277190609396778,0.19547880776061363,MLPRegressor,12613.796694278717,0.4979979764615925,0.484449723917559,0.18967226449692234,0.758579478773378,0.7545231671172381,0.1280266249482438,0.4341585644873597,0.43107422607504575,0.19490493943619094,SimpleImputer,0.3538187805471639,MLPRegressor,8271.547352075577
7,189,reg_simple_,MNAR_,0.5_,1/,0.2421575516782922,SimpleImputer,0.3448261956947509,0.34438360297990267,0.21389134960397857,0.69302759246942,0.6830472684433877,0.14547631463106045,0.22555556190162018,0.2221449067076504,0.22790003448220644,MLPRegressor,11882.812641143799,0.3100961116457449,0.3099994459982527,0.21942850141392606,0.6462522651639634,0.6412242655620444,0.15477705256262334,0.22148284720953793,0.2208746976546393,0.22808603481055273,SimpleImputer,0.3543959571360598,MLPRegressor,6981.497729063034
8,189,reg_simple_,MCAR_,0.01_,1/,0.3495312032674948,SimpleImputer,0.909142459127346,0.9084203964208635,0.07994065401689791,0.8675253964253439,0.8674246989950591,0.09408629175671744,0.8571160154897554,0.8570923013391063,0.09768386928071097,MLPRegressor,12726.364874362946,0.916691611342333,0.9166903423495237,0.0762458117146005,0.8683628024997221,0.8679081466910202,0.09391458804035323,0.8589912527222991,0.8583862534893532,0.0972406262868526,SimpleImputer,0.36529942707643787,MLPRegressor,11501.466532945633
9,189,reg_simple_,MCAR_,0.1_,1/,0.3373813427655619,SimpleImputer,0.7712578216544148,0.7704687193630233,0.12655789924191746,0.8522325896514403,0.8522322618958167,0.09933101054710924,0.7008022282765389,0.7007592808917285,0.14135311577893583,MLPRegressor,12575.577179193497,0.7620483004476718,0.7606966798628491,0.12922385104519632,0.8532584606671885,0.8488784060647262,0.10045193427304695,0.7081910647411314,0.7024389484893733,0.1409558430386238,SimpleImputer,0.35484515134867073,MLPRegressor,10716.935557842255
