,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,6,class_simple_,MAR_,0.01_,1/,0.16374412743476008,SimpleImputer,1.0,1.0,1.0,9.750336074590384e-06,1.0,0.9997223573005413,0.969,0.9690917597602042,0.11516791837784385,0.9689986554189586,0.9996560879389906,0.96525,0.9653367837870975,0.13267879979562627,0.9652261800127359,HistGradientBoostingClassifier,5823.825541973114,0.4736514091491699,1.0,1.0,1.0,0.00010323873132665046,1.0,0.9996996813666077,0.96775,0.9677101445321414,0.10649310636665979,0.9677494214627463,0.9996384268762508,0.964,0.9639663192650694,0.11938142511476825,0.9639676091173908,SimpleImputer,0.15868697509526103,HistGradientBoostingClassifier,5255.563275814056,0.569256067276001
1,6,class_simple_,MAR_,0.1_,1/,0.1571722250858657,SimpleImputer,1.0,1.0,1.0,1.1632577506483766e-05,1.0,0.9995103663883345,0.96625,0.9662224121004306,0.1381801545998233,0.9662805025190175,0.9990454421995115,0.9485,0.9485690044356497,0.21467384178236004,0.9484906360749216,HistGradientBoostingClassifier,4872.094184398651,0.4713575839996338,1.0,1.0,1.0,6.119534141983152e-05,1.0,0.9996637073430965,0.966,0.9659213729578571,0.12241511240514638,0.9659973854719751,0.9992424941724034,0.94725,0.9474329153741661,0.19064705529050405,0.9472675730803617,SimpleImputer,0.14509019939460702,HistGradientBoostingClassifier,5153.6720016002655,0.49924755096435547
2,6,class_simple_,MAR_,0.3_,1/,0.1560391758604211,SimpleImputer,1.0,1.0,1.0,2.731137923414078e-05,1.0,0.9995445608893537,0.95625,0.9560488924013462,0.1511083976353424,0.9562363517749228,0.9908276013765313,0.8285,0.82874660314173,0.7998625013095839,0.8275738318445973,HistGradientBoostingClassifier,7131.384739398956,0.5022401809692383,1.0,1.0,1.0,1.2730294192785142e-05,1.0,0.9995592170284456,0.95875,0.9585558156806134,0.15830930542686947,0.9587622906031874,0.9914674761526402,0.8345,0.8343835025590339,0.8514095327903142,0.8331093548351824,SimpleImputer,0.1530054191727268,HistGradientBoostingClassifier,4745.179842472076,0.4683682918548584
3,6,class_simple_,MAR_,0.5_,1/,0.1651385721180474,SimpleImputer,1.0,1.0,1.0,5.340793710110544e-05,1.0,0.999085457903573,0.94825,0.9480279501120138,0.19028286481862045,0.9481100246855482,0.9851094064458638,0.772,0.7722033041925397,1.0038155180200268,0.7656175496344265,HistGradientBoostingClassifier,5176.9322764873505,0.45602846145629883,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9990336189620355,0.94825,0.9481444767428217,0.3530848347191712,0.948168999689982,0.990210245459822,0.8015,0.801822291639547,0.8779031903997898,0.7990501836625892,SimpleImputer,0.14271391425906035,ExtraTreesClassifier,3801.3280549049377,0.38198256492614746
4,6,class_simple_,MNAR_,0.01_,1/,0.1541924956064081,SimpleImputer,1.0,1.0,1.0,0.10243777995543124,1.0,0.9996395840233887,0.97075,0.9707269938709924,0.3183905080589609,0.9707774779783505,0.9995529983765993,0.96625,0.9662272707982827,0.3448374963729613,0.9662678913672996,ExtraTreesClassifier,5025.590859413147,0.3877248764038086,1.0,1.0,1.0,0.04110033736740501,1.0,0.9994449877666898,0.96675,0.9666947252597373,0.36819467441589254,0.9666763030380885,0.9993740136369186,0.9635,0.9634835096571472,0.39254639104553646,0.9634472464779612,SimpleImputer,0.1538523516812721,BaggingClassifier,3795.4694530963898,0.3956613540649414
5,6,class_simple_,MNAR_,0.1_,1/,0.14626002900231555,SimpleImputer,1.0,1.0,1.0,3.18533442159981e-05,1.0,0.9996683568135716,0.966,0.9659027278975247,0.12466157559140192,0.9659340466470379,0.9983432196834909,0.92525,0.9249510912542498,0.30461485467990634,0.9249826234902906,HistGradientBoostingClassifier,5265.359320163727,0.5363991260528564,1.0,1.0,1.0,0.0003555483282692937,1.0,0.9996268045845358,0.963,0.9629180801050634,0.1155577230528263,0.9630280460364075,0.9985241570479804,0.93,0.929723021461683,0.24290800432838802,0.9298459748606829,SimpleImputer,0.15079854265046289,HistGradientBoostingClassifier,5142.587792873383,0.5170948505401611
6,6,class_simple_,MNAR_,0.3_,1/,0.14973150710872546,SimpleImputer,0.9999999879166381,0.999875,0.9998751662930767,0.00021729570364103931,0.9998752189628706,0.9990152155028819,0.93875,0.9386280936307375,0.246707217588675,0.9390501955693765,0.9873202456144574,0.786,0.7857410709114616,1.0107913350071047,0.7864087659862431,HistGradientBoostingClassifier,6285.664857149124,0.5676922798156738,1.0,1.0,1.0,1.572979301407055e-05,1.0,0.9990002937628977,0.944,0.9438484070821193,0.2544921973635647,0.9440614574975044,0.9897943686474251,0.808,0.8076061604383592,0.9236894654738972,0.8080493702784698,SimpleImputer,0.15388496833410958,HistGradientBoostingClassifier,3123.7807750701904,0.5116972923278809
7,6,class_simple_,MNAR_,0.5_,1/,0.18078554910661787,SimpleImputer,1.0,1.0,1.0,0.027496208272243555,1.0,0.9961804674988554,0.88075,0.8802819892267377,0.3949136654838207,0.8806426308496955,0.9552801288991177,0.59425,0.5937780007209696,1.4138917759423475,0.5945303705573212,HistGradientBoostingClassifier,5807.373104572296,0.7490479946136475,1.0,1.0,1.0,0.001500098979716746,1.0,0.9966473940936896,0.883,0.8825863458573957,0.3972345084671907,0.8828085595269136,0.9539427870272095,0.596,0.5955051745975505,1.6956133644690954,0.5960303730017037,SimpleImputer,0.15324478315704362,HistGradientBoostingClassifier,6525.969572544098,0.6727511882781982
8,6,class_simple_,MCAR_,0.01_,1/,0.15546631044100664,SimpleImputer,1.0,1.0,1.0,0.0001939733153367446,1.0,0.999689893984384,0.9675,0.9675270764820575,0.10773835191796846,0.967494832123395,0.9996160296581422,0.9625,0.9625359311360708,0.12367032146030761,0.9625121804722672,HistGradientBoostingClassifier,4458.20991897583,0.49334120750427246,1.0,1.0,1.0,8.144465798649906e-06,1.0,0.9997030948702872,0.97125,0.9713358693885221,0.1153119921081787,0.9712948168999366,0.9996180544155487,0.96575,0.9658677305448257,0.13312587445338175,0.9657748977173738,SimpleImputer,0.14916122426928674,HistGradientBoostingClassifier,5836.215218544006,0.45659542083740234
9,6,class_simple_,MCAR_,0.1_,1/,0.14893449972997197,SimpleImputer,1.0,1.0,1.0,2.1917327060515532e-05,1.0,0.999497995724576,0.95675,0.9566291158386188,0.15793898959458444,0.9567073192650386,0.9978706351664137,0.916,0.9157026850641631,0.3474050902613055,0.9158617778968452,HistGradientBoostingClassifier,6405.59174990654,0.5990986824035645,1.0,1.0,1.0,0.031337421498062935,1.0,0.9990692142035774,0.957,0.9568875607193039,0.38296463409045806,0.9570062810820876,0.9977800134122151,0.92375,0.9235803885918644,0.5612340384509862,0.9237544151268123,SimpleImputer,0.1514812095500768,BaggingClassifier,3896.6646358966827,0.44315052032470703
